,Name,Age,OVA,Nationality,BOV,BP,POT,Height,Weight,foot,Joined,Value,Wage,Release Clause,Total Stats,Base Stats,total_cost
0,G. Pasquale,33,69,Italy,71,LWB,69,72.0,181,Left,2008-07-01,625000.0,7000.0,0.0,1929,408,632000.0
1,Luis García,37,71,Spain,70,CM,71,70.0,143,Right,2014-07-19,600000.0,7000.0,1100000.0,1906,385,1707000.0
2,J. Cole,33,71,England,71,CAM,71,69.0,161,Right,2016-01-07,1100000.0,15000.0,0.0,1770,354,1115000.0
4,Iniesta,36,81,Spain,82,CAM,81,67.0,150,Right,2018-07-16,5500000.0,12000.0,7200000.0,2014,420,12712000.0
5,D. Odonkor,27,66,Germany,66,RW,70,68.0,163,Right,2011-01-01,725000.0,5000.0,0.0,1649,360,730000.0
6,E. Belözoğlu,38,77,Turkey,77,CM,77,67.0,159,Left,2019-07-02,2800000.0,44000.0,5300000.0,2017,403,8144000.0
7,R. Giggs,39,78,Wales,78,CAM,78,70.0,157,Left,1990-12-01,1000.0,60000.0,0.0,1939,392,61000.0
9,P. Scholes,37,80,England,82,CAM,80,67.0,157,Right,1993-07-08,400000.0,40000.0,0.0,2065,415,440000.0
10,P. Neville,35,74,England,75,CB,74,71.0,168,Right,2005-08-01,120000.0,7000.0,0.0,1868,381,127000.0
12,R. Keane,35,80,Republic of Ireland,81,CF,80,69.0,161,Right,2011-08-01,5500000.0,10000.0,0.0,1974,407,5510000.0
18,M. Schwarzer,42,73,Australia,73,GK,73,76.0,209,Right,2015-01-06,500000.0,15000.0,0.0,1111,382,515000.0
22,J. Zanetti,39,75,Argentina,75,CDM,75,70.0,165,Right,1995-07-01,1000.0,45000.0,0.0,1874,401,46000.0
23,A. Del Piero,38,70,Italy,74,CAM,70,69.0,163,Right,2012-09-01,190000.0,30000.0,0.0,1682,322,220000.0
26,G. Buffon,42,82,Italy,82,GK,82,76.0,203,Right,2019-07-04,2200000.0,41000.0,3600000.0,1292,429,5841000.0
29,F. Inzaghi,37,73,Italy,72,ST,73,71.0,163,Right,2001-01-01,350000.0,15000.0,0.0,1507,285,365000.0
30,C. Abbiati,37,75,Italy,75,GK,75,75.0,203,Right,2016-07-07,1300000.0,40000.0,0.0,1160,407,1340000.0
32,F. Totti,39,80,Italy,82,CAM,80,71.0,181,Right,1993-01-01,1500000.0,60000.0,0.0,1872,378,1560000.0
